id_marcador_mapa,nome,camada,data,data_original,hora_marcador,status_data,uf,endereco_ou_localizacao,latitude,longitude,link,site_leiloeiro,fonte_data_hora,link_edital,resumo_edital,descricao
marcador-809,"[EMPRESA] - Caminhões, Equipamentos, Imóveis - Rio Grande / RS",31-07-26,2026-09-03,03/09/2026,9:00,futuro_ou_hoje,RS,96200-001 - Rio Grande - RS - Brasil,,,https://www.lipinskileiloes.com.br/leilao/veiculo-vw-8-150e-delivery-reb-piramide-prb500-semi-reboque-casa-sao-lourenco-22-04-2026-14-59-24/lotes/lista,,mapa,,,https://www.lipinskileiloes.com.br/leilao/veiculo-vw-8-150e-delivery-reb-piramide-prb500-semi-reboque-casa-sao-lourenco-22-04-2026-14-59-24/lotes/lista | OBSERVAÇÃO: LOTES EM DIFERENTES LOCAIS DO BRASIL.
marcador-810,"[PÁTIO] - Caminhões, Equipamentos, Jetskis - Rio Grande / RS",31-07-26,2026-09-03,03/09/2026,9:00,futuro_ou_hoje,RS,35931-110 - Rio Grande - RS - Brasil,,,https://www.lipinskileiloes.com.br/leilao/veiculo-vw-8-150e-delivery-reb-piramide-prb500-semi-reboque-casa-sao-lourenco-22-04-2026-14-59-24/lotes/lista,,mapa,,,https://www.lipinskileiloes.com.br/leilao/veiculo-vw-8-150e-delivery-reb-piramide-prb500-semi-reboque-casa-sao-lourenco-22-04-2026-14-59-24/lotes/lista
marcador-811,"[PÁTIO] - Caminhões, Equipamentos, Jetskis - Rio Grande / RS",31-07-26,2026-09-03,03/09/2026,9:00,futuro_ou_hoje,RS,35931-110 - Rio Grande - RS - Brasil,,,https://www.lipinskileiloes.com.br/leilao/veiculo-vw-8-150e-delivery-reb-piramide-prb500-semi-reboque-22-04-2026-14-59-24/lotes/lista,,mapa,,,https://www.lipinskileiloes.com.br/leilao/veiculo-vw-8-150e-delivery-reb-piramide-prb500-semi-reboque-22-04-2026-14-59-24/lotes/lista
marcador-812,[PÁTIO]  - CAMINHÕES/EQUIMENTOS/JETSKIS - Rio Grande/RS,31-07-26,2026-09-03,03/09/2026,9:00,futuro_ou_hoje,RS,"Av. Pres. Vargas, 305 - São Paulo, Rio Grande - RS, 96202-336, Brasil",,,https://www.lipinskileiloes.com.br/leilao/veiculo-vw-8-150e-delivery-reb-piramide-prb500-semi-reboque-22-04-2026-14-59-24/lotes/lista,,mapa,,,https://www.lipinskileiloes.com.br/leilao/veiculo-vw-8-150e-delivery-reb-piramide-prb500-semi-reboque-22-04-2026-14-59-24/lotes/lista
marcador-813,"[PREFEITURA] - Veículos, Vans, Caminhões, Máquinas, Equipamentos, Sucatas - Formosa do Sul / SC",31-07-26,2026-09-09,09/09/2026,4:00,futuro_ou_hoje,SC,"Av. Getúlio Vargas, 580 - Centro - 89859-000 - Formosa do Sul - SC - Brasil",,,https://www.eckertleiloes.com.br/evento/municipio-de-formosa-do-sul-sc-790442?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=lotNumber:asc;subLotNumber:asc&,,mapa,,,https://www.eckertleiloes.com.br/evento/municipio-de-formosa-do-sul-sc-790442?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=lotNumber:asc;subLotNumber:asc&
marcador-814,"[PREFEITURA] - Imóveis, Presencial - Jandaia do Sul / PR",31-07-26,2026-09-15,15/09/2026,4:00,futuro_ou_hoje,PR,86900-000 - Jandaia do Sul - PR - Brasil,,,https://drive.google.com/file/d/1lswP8Q4LpkLSjd6F_t9f7aqOZZ6YkKB6/view?usp=drive_link,,mapa,,,https://drive.google.com/file/d/1lswP8Q4LpkLSjd6F_t9f7aqOZZ6YkKB6/view?usp=drive_link | OBSERVAÇÃO: LOTES EM DIFERENTES LOCAIS DA CIDADE.
marcador-815,[PREFEITURA] - Imóveis - Passo Fundo / RS,31-07-26,2026-09-17,17/09/2026,4:00,futuro_ou_hoje,RS,99010-005 - Passo Fundo - RS - Brasil,,,https://drive.google.com/file/d/1PYQsXs4rdIEDPAp0yxQAHWsKEfae9yqp/view?usp=drive_link,,mapa,,,https://drive.google.com/file/d/1PYQsXs4rdIEDPAp0yxQAHWsKEfae9yqp/view?usp=drive_link
marcador-816,[PREFEITURA] - IMÓVEIS	- Tatuí - SP,31-07-26,2026-10-22,22/10/2026,4:00,futuro_ou_hoje,SP,"Tatuí, SP, Brasil",,,https://www.argonetworkleiloes.com.br/evento/prefeitura-municipal-de-tatui-789565?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=lotNumber:asc;subLotNumber:asc&,,mapa,,,https://www.argonetworkleiloes.com.br/evento/prefeitura-municipal-de-tatui-789565?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=lotNumber:asc;subLotNumber:asc& •
marcador-1246,[PREFEITURA] - Ônibus - Camutanga / PE,ATUALIZAÇÃO 11/08/2026,2026-08-28,28/08/2026,04:00,futuro_ou_hoje,PE,Av. Presidente Getúlio Vargas,,,https://www.danielgarcialeiloes.com.br/leilao/7789/lotes,,mapa,,,https://www.danielgarcialeiloes.com.br/leilao/7789/lotes
marcador-1248,[EMPRESA] - AMARAL - Máquinas - São Paulo / SP,ATUALIZAÇÃO 11/08/2026,2026-08-28,28/08/2026,09:00,futuro_ou_hoje,SP,01000-000 - São Paulo - SP - Brasil,,,https://www.amaralleiloes.com.br/leilao/1544/lotes,,mapa,,,https://www.amaralleiloes.com.br/leilao/1544/lotes
marcador-1249,[EMPRESA] - AMARAL - Máquinas - São Paulo / SP,ATUALIZAÇÃO 11/08/2026,2026-08-28,28/08/2026,09:00,futuro_ou_hoje,SP,01000-000 - São Paulo - SP - Brasil,,,https://www.amaralleiloes.com.br/leilao/1544/lotes,,mapa,,,https://www.amaralleiloes.com.br/leilao/1544/lotes
